Year,GDP (Trillion USD),Literacy Rate (%),Unemployment Rate (%),Forest Cover (%),Fiscal Deficit (% of GDP),Life Expectancy (Years),Internet Penetration (%),R&D Spending (% of GDP)
2014,2.0,72,5.2,21.0,4.1,68.5,19,0.65
2015,2.1,73,5.1,21.2,3.9,68.7,23,0.66
2016,2.3,74,5.0,21.4,3.5,69.0,28,0.67
2017,2.7,75,4.9,21.5,3.4,69.4,34,0.69
2018,2.9,76,5.3,21.7,3.8,69.8,40,0.7
2019,3.1,77,7.1,21.8,9.5,70.2,48,0.72
2020,2.8,78,8.0,22.0,6.9,70.4,52,0.73
2021,3.3,79,7.5,22.3,6.4,70.6,56,0.75
2022,3.5,80,6.7,22.5,5.8,71.0,60,0.76
2023,3.7,81,6.0,22.8,5.2,71.5,65,0.78
